# Time_stamp_start,Duration,Year,month,day,hour,min,second,num_of_detec_st,FG3S,FG8S,FG10S,FG11S,FG12S,FG13S,FG14S,FG16S
1544418573,5800,2018,12,10,5,9,33,2,1,0,0,0,1,0,0,0
1544486945,4978,2018,12,11,0,9,5,4,1,1,1,0,1,0,0,0
1544494443,2380,2018,12,11,2,14,3,2,1,1,0,0,0,0,0,0
1544497753,9992,2018,12,11,3,9,13,3,1,1,0,0,1,0,0,0
1544515304,2859,2018,12,11,8,1,44,4,1,1,1,0,1,0,0,0
1544652914,3040,2018,12,12,22,15,14,2,1,0,0,0,1,0,0,0
1544664954,2340,2018,12,13,1,35,54,2,1,0,0,0,1,0,0,0
1544674483,8130,2018,12,13,4,14,43,2,1,0,0,0,1,0,0,0
1544721094,1379,2018,12,13,17,11,34,2,1,0,0,0,1,0,0,0
1544727863,1011,2018,12,13,19,4,23,3,1,0,1,0,1,0,0,0
1544731083,6521,2018,12,13,19,58,3,3,1,0,1,0,1,0,0,0
1544741313,891,2018,12,13,22,48,33,3,1,0,1,0,1,0,0,0
1544769193,3330,2018,12,14,6,33,13,2,1,0,0,0,1,0,0,0
1544776813,1980,2018,12,14,8,40,13,2,1,0,0,0,1,0,0,0
1544790573,930,2018,12,14,12,29,33,2,1,0,0,0,1,0,0,0
1544797483,2920,2018,12,14,14,24,43,2,1,0,0,0,1,0,0,0
1544800873,1350,2018,12,14,15,21,13,3,1,0,1,0,1,0,0,0
1545081065,810,2018,12,17,21,11,5,2,1,0,0,0,1,0,0,0
1545122533,730,2018,12,18,8,42,13,2,1,0,0,0,1,0,0,0
1545154255,1758,2018,12,18,17,30,55,2,1,0,0,0,1,0,0,0
1545167583,4400,2018,12,18,21,13,3,2,1,0,0,0,1,0,0,0
1545173195,1648,2018,12,18,22,46,35,2,1,0,0,0,1,0,0,0
1545176073,5760,2018,12,18,23,34,33,2,1,0,0,0,1,0,0,0
1545185943,860,2018,12,19,2,19,3,2,1,0,0,0,1,0,0,0
1545190303,3200,2018,12,19,3,31,43,2,1,0,0,0,1,0,0,0
1545196913,2630,2018,12,19,5,21,53,2,1,0,0,0,1,0,0,0
1545202583,1632,2018,12,19,6,56,23,2,1,0,0,0,1,0,0,0
1545207223,1290,2018,12,19,8,13,43,3,1,0,0,0,1,1,0,0
1545209733,1770,2018,12,19,8,55,33,3,1,0,0,0,1,1,0,0
1545212015,5169,2018,12,19,9,33,35,5,1,0,0,0,1,1,0,0
1545218165,1008,2018,12,19,11,16,5,2,1,0,0,0,1,0,0,0
1545221325,758,2018,12,19,12,8,45,3,1,0,0,0,1,1,0,0
1545224005,1628,2018,12,19,12,53,25,2,1,0,0,0,1,0,0,0
1545226795,1330,2018,12,19,13,39,55,2,1,0,0,0,1,0,0,0
1545228515,1550,2018,12,19,14,8,35,2,1,0,0,0,1,0,0,0
1545231843,770,2018,12,19,15,4,3,2,1,0,0,0,1,0,0,0
1545234745,1040,2018,12,19,15,52,25,2,1,0,0,0,1,0,0,0
1545236523,2050,2018,12,19,16,22,3,2,1,0,0,0,1,0,0,0
